Epoch nr. 0, avg train loss: 62924824.0, avg validation loss: 18086296.0
Epoch nr. 1, avg train loss: 108537184.0, avg validation loss: 1032880.0
Epoch nr. 2, avg train loss: 22692550.0, avg validation loss: 53645.625
Epoch nr. 3, avg train loss: 4306533.5, avg validation loss: 216532.0625
Epoch nr. 4, avg train loss: 1215600.875, avg validation loss: 317233.34375
Epoch nr. 5, avg train loss: 950942.9375, avg validation loss: 365610.09375
Epoch nr. 6, avg train loss: 1158904.625, avg validation loss: 390554.53125
Epoch nr. 7, avg train loss: 1386680.875, avg validation loss: 408425.4375
Epoch nr. 8, avg train loss: 1478602.875, avg validation loss: 395006.625
Epoch nr. 9, avg train loss: 1498255.375, avg validation loss: 369679.84375
Epoch nr. 10, avg train loss: 1430364.625, avg validation loss: 332825.0625
Epoch nr. 11, avg train loss: 1256868.25, avg validation loss: 295015.84375
Epoch nr. 12, avg train loss: 1120557.875, avg validation loss: 255840.1875
Epoch nr. 13, avg train loss: 933020.875, avg validation loss: 213017.734375
Epoch nr. 14, avg train loss: 815804.5, avg validation loss: 175678.59375
Epoch nr. 15, avg train loss: 678544.125, avg validation loss: 148977.609375
Epoch nr. 16, avg train loss: 569046.5, avg validation loss: 127613.6328125
Epoch nr. 17, avg train loss: 478090.5, avg validation loss: 109718.7265625
Epoch nr. 18, avg train loss: 393201.5625, avg validation loss: 96078.1328125
Epoch nr. 19, avg train loss: 348028.3125, avg validation loss: 85239.09375
Epoch nr. 20, avg train loss: 291643.5, avg validation loss: 74391.1875
Epoch nr. 21, avg train loss: 250164.25, avg validation loss: 64275.39453125
Epoch nr. 22, avg train loss: 219864.890625, avg validation loss: 55474.59765625
Epoch nr. 23, avg train loss: 191523.28125, avg validation loss: 47192.9765625
Epoch nr. 24, avg train loss: 170341.84375, avg validation loss: 40012.12890625
Epoch nr. 25, avg train loss: 159253.546875, avg validation loss: 34037.609375
Epoch nr. 26, avg train loss: 155585.109375, avg validation loss: 29341.619140625
Epoch nr. 27, avg train loss: 148151.109375, avg validation loss: 26157.2578125
Epoch nr. 28, avg train loss: 145244.484375, avg validation loss: 24145.763671875
Epoch nr. 29, avg train loss: 141131.75, avg validation loss: 23300.171875
Epoch nr. 30, avg train loss: 148051.640625, avg validation loss: 23163.8359375
Epoch nr. 31, avg train loss: 147915.859375, avg validation loss: 24515.048828125
Epoch nr. 32, avg train loss: 145282.734375, avg validation loss: 26823.390625
Epoch nr. 33, avg train loss: 144958.359375, avg validation loss: 30229.462890625
Epoch nr. 34, avg train loss: 137175.78125, avg validation loss: 34729.4140625
Epoch nr. 35, avg train loss: 132572.28125, avg validation loss: 40148.3203125
Epoch nr. 36, avg train loss: 116956.796875, avg validation loss: 45920.390625
Epoch nr. 37, avg train loss: 115702.4140625, avg validation loss: 52238.69921875
Epoch nr. 38, avg train loss: 108748.90625, avg validation loss: 58424.48828125
Epoch nr. 39, avg train loss: 103164.984375, avg validation loss: 64457.43359375
Epoch nr. 40, avg train loss: 99949.75, avg validation loss: 69562.9921875
Epoch nr. 41, avg train loss: 97741.421875, avg validation loss: 74267.03125
Epoch nr. 42, avg train loss: 93709.6328125, avg validation loss: 78079.359375
Epoch nr. 43, avg train loss: 92941.4765625, avg validation loss: 81406.140625
Epoch nr. 44, avg train loss: 91588.78125, avg validation loss: 84657.8984375
Epoch nr. 45, avg train loss: 90273.375, avg validation loss: 86640.59375
Epoch nr. 46, avg train loss: 93170.7421875, avg validation loss: 88705.265625
Epoch nr. 47, avg train loss: 89402.78125, avg validation loss: 90231.3125
Epoch nr. 48, avg train loss: 88103.0078125, avg validation loss: 91227.265625
Epoch nr. 49, avg train loss: 91188.71875, avg validation loss: 91839.84375
Epoch nr. 50, avg train loss: 88811.671875, avg validation loss: 92076.296875
Epoch nr. 51, avg train loss: 90052.2890625, avg validation loss: 92085.59375
Epoch nr. 52, avg train loss: 86491.59375, avg validation loss: 91801.6953125
