Epoch nr. 0, avg train loss: 285333.64375, avg validation loss: 20346.14453125
Epoch nr. 1, avg train loss: 58539.2515625, avg validation loss: 34527.515625
Epoch nr. 2, avg train loss: 43562.5337890625, avg validation loss: 31624.720703125
Epoch nr. 3, avg train loss: 32874.75, avg validation loss: 12612.044921875
Epoch nr. 4, avg train loss: 27109.7369140625, avg validation loss: 9130.244140625
Epoch nr. 5, avg train loss: 22604.01123046875, avg validation loss: 6622.98583984375
Epoch nr. 6, avg train loss: 19468.370166015626, avg validation loss: 9849.4755859375
Epoch nr. 7, avg train loss: 16450.471435546875, avg validation loss: 10709.1884765625
Epoch nr. 8, avg train loss: 14126.147094726562, avg validation loss: 7568.13330078125
Epoch nr. 9, avg train loss: 10171.103955078124, avg validation loss: 11890.78125
Epoch nr. 10, avg train loss: 9259.955786132812, avg validation loss: 15381.81640625
Epoch nr. 11, avg train loss: 8400.914709472656, avg validation loss: 10853.3720703125
Epoch nr. 12, avg train loss: 8623.230322265625, avg validation loss: 9649.5322265625
Epoch nr. 13, avg train loss: 8360.149780273438, avg validation loss: 8924.6240234375
Epoch nr. 14, avg train loss: 8118.322509765625, avg validation loss: 7640.9892578125
Epoch nr. 15, avg train loss: 9062.796459960937, avg validation loss: 7078.6650390625
Epoch nr. 16, avg train loss: 9168.606713867188, avg validation loss: 6346.9326171875
Epoch nr. 17, avg train loss: 9199.404675292968, avg validation loss: 6737.8232421875
Epoch nr. 18, avg train loss: 9251.08765258789, avg validation loss: 7220.83984375
Epoch nr. 19, avg train loss: 9247.082348632812, avg validation loss: 6477.265625
Epoch nr. 20, avg train loss: 9272.209375, avg validation loss: 5576.220703125
Epoch nr. 21, avg train loss: 9623.25521850586, avg validation loss: 7016.296875
Epoch nr. 22, avg train loss: 9667.247631835937, avg validation loss: 7014.53662109375
Epoch nr. 23, avg train loss: 9583.632122802734, avg validation loss: 6874.58154296875
Epoch nr. 24, avg train loss: 10030.886437988282, avg validation loss: 5293.94970703125
Epoch nr. 25, avg train loss: 10020.471887207032, avg validation loss: 6342.57080078125
Epoch nr. 26, avg train loss: 9823.111364746093, avg validation loss: 5698.6845703125
Epoch nr. 27, avg train loss: 8746.30372314453, avg validation loss: 5660.50439453125
Epoch nr. 28, avg train loss: 8868.303576660157, avg validation loss: 5227.76220703125
Epoch nr. 29, avg train loss: 8762.652136230468, avg validation loss: 5836.134765625
Epoch nr. 30, avg train loss: 7823.019714355469, avg validation loss: 5625.927734375
Epoch nr. 31, avg train loss: 7880.873260498047, avg validation loss: 6569.6728515625
Epoch nr. 32, avg train loss: 7875.297204589844, avg validation loss: 5334.7490234375
Epoch nr. 33, avg train loss: 7217.71259765625, avg validation loss: 8202.1611328125
Epoch nr. 34, avg train loss: 7537.600512695312, avg validation loss: 9139.3916015625
Epoch nr. 35, avg train loss: 7682.053088378906, avg validation loss: 5319.31494140625
Epoch nr. 36, avg train loss: 8607.398669433594, avg validation loss: 5204.2578125
Epoch nr. 37, avg train loss: 9059.65137939453, avg validation loss: 6899.79541015625
Epoch nr. 38, avg train loss: 8555.207879638672, avg validation loss: 5282.72265625
Epoch nr. 39, avg train loss: 8354.239624023438, avg validation loss: 6983.21923828125
Epoch nr. 40, avg train loss: 8105.143127441406, avg validation loss: 5631.693359375
Epoch nr. 41, avg train loss: 8033.190649414062, avg validation loss: 6275.98291015625
Epoch nr. 42, avg train loss: 7764.780578613281, avg validation loss: 5232.1455078125
Epoch nr. 43, avg train loss: 8152.678125, avg validation loss: 5932.0595703125
Epoch nr. 44, avg train loss: 8056.480810546875, avg validation loss: 5697.16748046875
Epoch nr. 45, avg train loss: 7529.114068603516, avg validation loss: 6858.97607421875
Epoch nr. 46, avg train loss: 7424.323937988282, avg validation loss: 5727.24169921875
Epoch nr. 47, avg train loss: 7567.05361328125, avg validation loss: 5699.6748046875
Epoch nr. 48, avg train loss: 7801.195483398437, avg validation loss: 7967.173828125
Epoch nr. 49, avg train loss: 7732.6173828125, avg validation loss: 7225.5751953125
Epoch nr. 50, avg train loss: 7856.323645019531, avg validation loss: 7043.27734375
Epoch nr. 51, avg train loss: 8401.439172363282, avg validation loss: 5808.80859375
