Epoch nr. 0, avg train loss: 28045104.5984375, avg validation loss: 23783.134765625
Epoch nr. 1, avg train loss: 81239.4369140625, avg validation loss: 92761.5546875
Epoch nr. 2, avg train loss: 44319.7134765625, avg validation loss: 74047.0859375
Epoch nr. 3, avg train loss: 39521.00576171875, avg validation loss: 72775.1171875
Epoch nr. 4, avg train loss: 33798.70615234375, avg validation loss: 59488.921875
Epoch nr. 5, avg train loss: 30055.49716796875, avg validation loss: 57304.953125
Epoch nr. 6, avg train loss: 27818.2490234375, avg validation loss: 49170.3828125
Epoch nr. 7, avg train loss: 27087.61005859375, avg validation loss: 40786.63671875
Epoch nr. 8, avg train loss: 23509.639892578125, avg validation loss: 31228.833984375
Epoch nr. 9, avg train loss: 19447.5443359375, avg validation loss: 28295.07421875
Epoch nr. 10, avg train loss: 17869.79580078125, avg validation loss: 25835.876953125
Epoch nr. 11, avg train loss: 15834.180908203125, avg validation loss: 18833.4609375
Epoch nr. 12, avg train loss: 15350.05068359375, avg validation loss: 15469.0859375
Epoch nr. 13, avg train loss: 14057.07587890625, avg validation loss: 14424.8623046875
Epoch nr. 14, avg train loss: 13306.363891601562, avg validation loss: 10840.396484375
Epoch nr. 15, avg train loss: 13871.267407226562, avg validation loss: 10086.35546875
Epoch nr. 16, avg train loss: 13211.407934570312, avg validation loss: 9434.4814453125
Epoch nr. 17, avg train loss: 12910.318383789063, avg validation loss: 10215.2431640625
Epoch nr. 18, avg train loss: 12656.112475585938, avg validation loss: 10349.1474609375
Epoch nr. 19, avg train loss: 12275.142163085937, avg validation loss: 10675.353515625
Epoch nr. 20, avg train loss: 12063.922900390626, avg validation loss: 11083.9365234375
Epoch nr. 21, avg train loss: 12097.11336669922, avg validation loss: 11008.3466796875
Epoch nr. 22, avg train loss: 11843.389819335938, avg validation loss: 11792.7060546875
Epoch nr. 23, avg train loss: 11616.325378417969, avg validation loss: 13497.681640625
Epoch nr. 24, avg train loss: 11662.971459960938, avg validation loss: 12890.4404296875
Epoch nr. 25, avg train loss: 11512.540551757813, avg validation loss: 11384.7998046875
Epoch nr. 26, avg train loss: 11396.284936523438, avg validation loss: 12924.484375
Epoch nr. 27, avg train loss: 10040.02578125, avg validation loss: 13082.703125
