Epoch nr. 78, avg train loss: 5118.626916503907, avg validation loss: 1341.747802734375
Epoch nr. 79, avg train loss: 6570.504260253906, avg validation loss: 4528.44677734375
Epoch nr. 80, avg train loss: 8305.739208984374, avg validation loss: 4262.08447265625
Epoch nr. 81, avg train loss: 5361.319189453125, avg validation loss: 1740.308837890625
Epoch nr. 82, avg train loss: 4271.102075195313, avg validation loss: 1075.433349609375
Epoch nr. 83, avg train loss: 3483.3364440917967, avg validation loss: 2102.29443359375
Epoch nr. 84, avg train loss: 4251.094506835938, avg validation loss: 1438.0704345703125
Epoch nr. 85, avg train loss: 4327.901965332031, avg validation loss: 2013.163818359375
Epoch nr. 86, avg train loss: 4536.8599609375, avg validation loss: 738.3499755859375
Epoch nr. 87, avg train loss: 3683.9030517578126, avg validation loss: 760.3221435546875
Epoch nr. 88, avg train loss: 3386.4128295898436, avg validation loss: 1357.2620849609375
Epoch nr. 89, avg train loss: 3729.1565673828127, avg validation loss: 268.5632629394531
Epoch nr. 90, avg train loss: 4857.317419433593, avg validation loss: 923.1105346679688
Epoch nr. 91, avg train loss: 3932.0272521972656, avg validation loss: 732.96240234375
Epoch nr. 92, avg train loss: 40455.6662109375, avg validation loss: 949.3099365234375
Epoch nr. 93, avg train loss: 7106.227001953125, avg validation loss: 984.7373046875
Epoch nr. 94, avg train loss: 20317.782604980468, avg validation loss: 1994.4169921875
Epoch nr. 95, avg train loss: 95218.59328613282, avg validation loss: 4943.40185546875
Epoch nr. 96, avg train loss: 2392329.049609375, avg validation loss: 28678.251953125
Epoch nr. 97, avg train loss: 414371.558984375, avg validation loss: 17602.501953125
Epoch nr. 98, avg train loss: 1349707.74375, avg validation loss: 122835.921875
Epoch nr. 99, avg train loss: 792019.265625, avg validation loss: 29351.91796875
Epoch nr. 100, avg train loss: 146258.98828125, avg validation loss: 62600.4921875
Epoch nr. 101, avg train loss: 70799.5623046875, avg validation loss: 45227.14453125
Epoch nr. 102, avg train loss: 41201.16953125, avg validation loss: 35778.9296875
Epoch nr. 103, avg train loss: 29462.97998046875, avg validation loss: 31483.5
Epoch nr. 104, avg train loss: 27098.16748046875, avg validation loss: 28740.9453125
Epoch nr. 105, avg train loss: 27436.9208984375, avg validation loss: 24051.771484375
Epoch nr. 106, avg train loss: 23169.805126953124, avg validation loss: 21383.884765625
Epoch nr. 107, avg train loss: 21611.900244140626, avg validation loss: 21018.486328125
Epoch nr. 108, avg train loss: 17468.374951171874, avg validation loss: 17248.359375
Epoch nr. 109, avg train loss: 16649.27314453125, avg validation loss: 13724.75390625
Epoch nr. 110, avg train loss: 14041.82900390625, avg validation loss: 13591.876953125
Epoch nr. 111, avg train loss: 14410.833447265624, avg validation loss: 13103.068359375
Epoch nr. 112, avg train loss: 13939.85771484375, avg validation loss: 12356.27734375
Epoch nr. 113, avg train loss: 13024.326245117187, avg validation loss: 10927.9443359375
Epoch nr. 114, avg train loss: 10710.782885742188, avg validation loss: 8686.2373046875
Epoch nr. 115, avg train loss: 10036.751196289062, avg validation loss: 9687.185546875
Epoch nr. 116, avg train loss: 9213.945922851562, avg validation loss: 7953.34716796875
Epoch nr. 117, avg train loss: 10734.297180175781, avg validation loss: 7652.2958984375
Epoch nr. 118, avg train loss: 9502.13017578125, avg validation loss: 7213.73828125
Epoch nr. 119, avg train loss: 8990.153698730468, avg validation loss: 6789.447265625
Epoch nr. 120, avg train loss: 8820.784313964843, avg validation loss: 6227.69384765625
Epoch nr. 121, avg train loss: 8768.364233398437, avg validation loss: 6178.728515625
Epoch nr. 122, avg train loss: 8417.07177734375, avg validation loss: 5913.35595703125
Epoch nr. 123, avg train loss: 9012.51954345703, avg validation loss: 5856.6875
Epoch nr. 124, avg train loss: 9064.608239746094, avg validation loss: 5495.794921875
Epoch nr. 125, avg train loss: 23347.538647460937, avg validation loss: 6317.1240234375
Epoch nr. 126, avg train loss: 8960.499328613281, avg validation loss: 5729.87890625
Epoch nr. 127, avg train loss: 7704.567797851562, avg validation loss: 5561.2158203125
Epoch nr. 128, avg train loss: 7348.435241699219, avg validation loss: 5386.1376953125
Epoch nr. 129, avg train loss: 8953.869458007812, avg validation loss: 5366.43017578125
Epoch nr. 130, avg train loss: 8633.283044433594, avg validation loss: 5277.7216796875
