Epoch nr. 0, avg train loss: 12205641.0, avg validation loss: 96352.078125
Epoch nr. 1, avg train loss: 26409682.0, avg validation loss: 180019.421875
Epoch nr. 2, avg train loss: 1810738.125, avg validation loss: 188962.3125
Epoch nr. 3, avg train loss: 1261151.0, avg validation loss: 165480.8125
Epoch nr. 4, avg train loss: 1406905.375, avg validation loss: 134063.640625
Epoch nr. 5, avg train loss: 1308532.125, avg validation loss: 104571.0234375
Epoch nr. 6, avg train loss: 1017338.375, avg validation loss: 81442.7265625
Epoch nr. 7, avg train loss: 757046.4375, avg validation loss: 64040.28125
Epoch nr. 8, avg train loss: 577643.5, avg validation loss: 50469.9453125
Epoch nr. 9, avg train loss: 430948.1875, avg validation loss: 38953.421875
Epoch nr. 10, avg train loss: 337842.90625, avg validation loss: 28911.552734375
Epoch nr. 11, avg train loss: 266754.6875, avg validation loss: 20325.333984375
Epoch nr. 12, avg train loss: 205767.390625, avg validation loss: 13844.41796875
Epoch nr. 13, avg train loss: 164568.03125, avg validation loss: 10427.365234375
Epoch nr. 14, avg train loss: 125993.3984375, avg validation loss: 11330.87890625
Epoch nr. 15, avg train loss: 100819.7578125, avg validation loss: 17579.24609375
Epoch nr. 16, avg train loss: 81895.6875, avg validation loss: 29483.5234375
Epoch nr. 17, avg train loss: 70741.2734375, avg validation loss: 46037.21484375
Epoch nr. 18, avg train loss: 66376.28125, avg validation loss: 64379.89453125
Epoch nr. 19, avg train loss: 68160.484375, avg validation loss: 80658.109375
Epoch nr. 20, avg train loss: 70063.8515625, avg validation loss: 90674.0390625
Epoch nr. 21, avg train loss: 76686.625, avg validation loss: 92243.484375
Epoch nr. 22, avg train loss: 77409.6484375, avg validation loss: 85102.65625
Epoch nr. 23, avg train loss: 72752.90625, avg validation loss: 71634.7421875
Epoch nr. 24, avg train loss: 70678.9921875, avg validation loss: 54880.9921875
Epoch nr. 25, avg train loss: 65788.4296875, avg validation loss: 38280.55078125
Epoch nr. 26, avg train loss: 58773.69140625, avg validation loss: 24514.431640625
Epoch nr. 27, avg train loss: 50157.9765625, avg validation loss: 14689.0947265625
Epoch nr. 28, avg train loss: 48379.8671875, avg validation loss: 8828.4736328125
Epoch nr. 29, avg train loss: 45388.5703125, avg validation loss: 6074.77783203125
Epoch nr. 30, avg train loss: 45004.84375, avg validation loss: 5431.21435546875
Epoch nr. 31, avg train loss: 46266.45703125, avg validation loss: 5841.91162109375
Epoch nr. 32, avg train loss: 45489.37109375, avg validation loss: 6517.796875
Epoch nr. 33, avg train loss: 49028.12109375, avg validation loss: 6988.458984375
Epoch nr. 34, avg train loss: 48914.87890625, avg validation loss: 7064.275390625
Epoch nr. 35, avg train loss: 48724.33203125, avg validation loss: 6730.87841796875
Epoch nr. 36, avg train loss: 45293.609375, avg validation loss: 6134.28955078125
Epoch nr. 37, avg train loss: 44671.2578125, avg validation loss: 5510.93115234375
Epoch nr. 38, avg train loss: 42084.40234375, avg validation loss: 5086.99169921875
Epoch nr. 39, avg train loss: 39797.49609375, avg validation loss: 5063.10498046875
Epoch nr. 40, avg train loss: 39076.140625, avg validation loss: 5557.92431640625
Epoch nr. 41, avg train loss: 37742.421875, avg validation loss: 6618.169921875
Epoch nr. 42, avg train loss: 35400.0, avg validation loss: 8136.09326171875
Epoch nr. 43, avg train loss: 34999.921875, avg validation loss: 9925.0400390625
Epoch nr. 44, avg train loss: 34177.23046875, avg validation loss: 11816.1884765625
Epoch nr. 45, avg train loss: 33726.90625, avg validation loss: 13496.9404296875
Epoch nr. 46, avg train loss: 31992.146484375, avg validation loss: 14803.8759765625
Epoch nr. 47, avg train loss: 32635.580078125, avg validation loss: 15647.7314453125
Epoch nr. 48, avg train loss: 35252.08203125, avg validation loss: 15932.2109375
Epoch nr. 49, avg train loss: 34360.66015625, avg validation loss: 15650.9384765625
Epoch nr. 50, avg train loss: 33277.39453125, avg validation loss: 14920.419921875
Epoch nr. 51, avg train loss: 32475.75390625, avg validation loss: 13839.4677734375
Epoch nr. 52, avg train loss: 31721.408203125, avg validation loss: 12584.9140625
Epoch nr. 53, avg train loss: 32383.78515625, avg validation loss: 11294.98828125
Epoch nr. 54, avg train loss: 31507.216796875, avg validation loss: 10082.7041015625
Epoch nr. 55, avg train loss: 29928.056640625, avg validation loss: 9061.2822265625
Epoch nr. 56, avg train loss: 30138.87109375, avg validation loss: 8230.3369140625
Epoch nr. 57, avg train loss: 30455.5703125, avg validation loss: 7561.345703125
Epoch nr. 58, avg train loss: 30159.958984375, avg validation loss: 7051.55859375
Epoch nr. 59, avg train loss: 31811.94921875, avg validation loss: 6684.763671875
Epoch nr. 60, avg train loss: 29240.205078125, avg validation loss: 6463.20166015625
Epoch nr. 61, avg train loss: 28429.3125, avg validation loss: 6366.05517578125
Epoch nr. 62, avg train loss: 28583.916015625, avg validation loss: 6379.9599609375
Epoch nr. 63, avg train loss: 29515.634765625, avg validation loss: 6472.15673828125
Epoch nr. 64, avg train loss: 29181.2734375, avg validation loss: 6639.57958984375
Epoch nr. 65, avg train loss: 29399.36328125, avg validation loss: 6877.15234375
Epoch nr. 66, avg train loss: 27717.619140625, avg validation loss: 7178.05322265625
Epoch nr. 67, avg train loss: 27255.091796875, avg validation loss: 7516.8310546875
Epoch nr. 68, avg train loss: 27733.068359375, avg validation loss: 7865.5390625
Epoch nr. 69, avg train loss: 25868.693359375, avg validation loss: 8238.5107421875
Epoch nr. 70, avg train loss: 26028.93359375, avg validation loss: 8588.2666015625
Epoch nr. 71, avg train loss: 26778.916015625, avg validation loss: 8909.8935546875
Epoch nr. 72, avg train loss: 25800.728515625, avg validation loss: 9178.8564453125
Epoch nr. 73, avg train loss: 25750.3671875, avg validation loss: 9379.0087890625
Epoch nr. 74, avg train loss: 25918.904296875, avg validation loss: 9537.4775390625
Epoch nr. 75, avg train loss: 25007.232421875, avg validation loss: 9612.1298828125
Epoch nr. 76, avg train loss: 25417.337890625, avg validation loss: 9601.0498046875
Epoch nr. 77, avg train loss: 24595.048828125, avg validation loss: 9510.15625
Epoch nr. 78, avg train loss: 26292.59765625, avg validation loss: 9348.7021484375
Epoch nr. 79, avg train loss: 25048.46875, avg validation loss: 9110.001953125
Epoch nr. 80, avg train loss: 25078.919921875, avg validation loss: 8839.9501953125
Epoch nr. 81, avg train loss: 24617.939453125, avg validation loss: 8609.3916015625
Epoch nr. 82, avg train loss: 25548.3984375, avg validation loss: 8384.330078125
Epoch nr. 83, avg train loss: 25319.650390625, avg validation loss: 8176.99365234375
Epoch nr. 84, avg train loss: 23056.49609375, avg validation loss: 7991.59326171875
Epoch nr. 85, avg train loss: 22873.66015625, avg validation loss: 7829.1845703125
Epoch nr. 86, avg train loss: 22621.513671875, avg validation loss: 7694.1796875
Epoch nr. 87, avg train loss: 24682.001953125, avg validation loss: 7587.59521484375
Epoch nr. 88, avg train loss: 24869.27734375, avg validation loss: 7493.0380859375
Epoch nr. 89, avg train loss: 25029.703125, avg validation loss: 7442.82373046875
Early Stopping
Finished training! Avg train loss: 569026.4964409722; Avg val loss: 27070.49837782118
