Epoch nr. 0, avg train loss: 2041107.25, avg validation loss: 741459.0625
Epoch nr. 1, avg train loss: 1114167.75, avg validation loss: 490295.625
Epoch nr. 2, avg train loss: 558403.5625, avg validation loss: 20989.232421875
Epoch nr. 3, avg train loss: 342530.65625, avg validation loss: 7087.8359375
Epoch nr. 4, avg train loss: 226296.140625, avg validation loss: 101943.9765625
Epoch nr. 5, avg train loss: 166517.65625, avg validation loss: 204015.84375
Epoch nr. 6, avg train loss: 147016.609375, avg validation loss: 58378.53515625
Epoch nr. 7, avg train loss: 115561.7890625, avg validation loss: 7325.373046875
Epoch nr. 8, avg train loss: 115455.4140625, avg validation loss: 9947.8671875
Epoch nr. 9, avg train loss: 105443.046875, avg validation loss: 17598.568359375
Epoch nr. 10, avg train loss: 94546.1640625, avg validation loss: 47132.4296875
Epoch nr. 11, avg train loss: 98801.609375, avg validation loss: 9746.73828125
Epoch nr. 12, avg train loss: 91347.34375, avg validation loss: 18135.8359375
Epoch nr. 13, avg train loss: 89399.4375, avg validation loss: 15722.701171875
Epoch nr. 14, avg train loss: 86741.4375, avg validation loss: 7272.3251953125
Epoch nr. 15, avg train loss: 79703.125, avg validation loss: 15303.8466796875
Epoch nr. 16, avg train loss: 82362.8046875, avg validation loss: 5147.599609375
Epoch nr. 17, avg train loss: 75632.0625, avg validation loss: 20941.14453125
Epoch nr. 18, avg train loss: 77472.40625, avg validation loss: 22644.533203125
Epoch nr. 19, avg train loss: 79113.5, avg validation loss: 5737.44482421875
Epoch nr. 20, avg train loss: 73836.703125, avg validation loss: 5900.3681640625
Epoch nr. 21, avg train loss: 72409.84375, avg validation loss: 7423.548828125
Epoch nr. 22, avg train loss: 69971.2734375, avg validation loss: 30143.935546875
Epoch nr. 23, avg train loss: 67305.9375, avg validation loss: 32829.69140625
Epoch nr. 24, avg train loss: 69818.84375, avg validation loss: 10857.640625
Epoch nr. 25, avg train loss: 67371.9921875, avg validation loss: 5833.6015625
Epoch nr. 26, avg train loss: 69781.1875, avg validation loss: 16209.2275390625
Epoch nr. 27, avg train loss: 62575.41796875, avg validation loss: 41603.75390625
Epoch nr. 28, avg train loss: 63408.65234375, avg validation loss: 32791.3515625
Epoch nr. 29, avg train loss: 62737.86328125, avg validation loss: 11521.337890625
Epoch nr. 30, avg train loss: 62221.84765625, avg validation loss: 8872.5283203125
Epoch nr. 31, avg train loss: 59964.19921875, avg validation loss: 24073.015625
Epoch nr. 32, avg train loss: 59092.3828125, avg validation loss: 50380.5703125
Epoch nr. 33, avg train loss: 64560.140625, avg validation loss: 32173.9140625
Epoch nr. 34, avg train loss: 62825.6328125, avg validation loss: 9038.494140625
Epoch nr. 35, avg train loss: 65184.01171875, avg validation loss: 10411.248046875
Epoch nr. 36, avg train loss: 58700.69140625, avg validation loss: 29569.591796875
Epoch nr. 37, avg train loss: 57891.95703125, avg validation loss: 39296.421875
Epoch nr. 38, avg train loss: 57417.88671875, avg validation loss: 21148.056640625
Epoch nr. 39, avg train loss: 56153.234375, avg validation loss: 9515.294921875
Epoch nr. 40, avg train loss: 59774.70703125, avg validation loss: 12992.68359375
Epoch nr. 41, avg train loss: 54226.39453125, avg validation loss: 23817.888671875
Epoch nr. 42, avg train loss: 55332.23828125, avg validation loss: 27195.462890625
Epoch nr. 43, avg train loss: 55586.71484375, avg validation loss: 14731.0390625
Epoch nr. 44, avg train loss: 52161.4609375, avg validation loss: 9731.0283203125
Epoch nr. 45, avg train loss: 53588.6171875, avg validation loss: 14484.861328125
Epoch nr. 46, avg train loss: 50212.0625, avg validation loss: 20356.5703125
Epoch nr. 47, avg train loss: 51006.06640625, avg validation loss: 16756.529296875
Epoch nr. 48, avg train loss: 51029.49609375, avg validation loss: 9016.048828125
Epoch nr. 49, avg train loss: 51910.82421875, avg validation loss: 7865.6953125
Epoch nr. 50, avg train loss: 52539.2890625, avg validation loss: 12557.369140625
Epoch nr. 51, avg train loss: 52254.88671875, avg validation loss: 18153.912109375
Epoch nr. 52, avg train loss: 50042.16796875, avg validation loss: 9746.330078125
Epoch nr. 53, avg train loss: 50855.4140625, avg validation loss: 5177.880859375
Epoch nr. 54, avg train loss: 49940.29296875, avg validation loss: 6932.0859375
Epoch nr. 55, avg train loss: 49919.25390625, avg validation loss: 13910.4228515625
Epoch nr. 56, avg train loss: 48518.984375, avg validation loss: 8920.9140625
Epoch nr. 57, avg train loss: 51437.38671875, avg validation loss: 5169.79150390625
Epoch nr. 58, avg train loss: 50888.79296875, avg validation loss: 5992.7470703125
Epoch nr. 59, avg train loss: 49648.8359375, avg validation loss: 14107.2216796875
Epoch nr. 60, avg train loss: 47861.48046875, avg validation loss: 7006.2431640625
Epoch nr. 61, avg train loss: 45471.33203125, avg validation loss: 6198.87939453125
Epoch nr. 62, avg train loss: 46433.36328125, avg validation loss: 6785.11962890625
Epoch nr. 63, avg train loss: 47704.203125, avg validation loss: 11506.712890625
Epoch nr. 64, avg train loss: 47186.1953125, avg validation loss: 5387.14794921875
Epoch nr. 65, avg train loss: 47170.30078125, avg validation loss: 5881.513671875
Epoch nr. 66, avg train loss: 44881.08203125, avg validation loss: 8740.2099609375
Early Stopping
Finished training! Avg train loss: 125946.73594916044; Avg val loss: 38291.67793114506
